Card   1: 58  6 71 93 96 38 25 29 17  8 | 79 33 93 58 53 96 71  8 67 90 17  6 46 85 64 25 73 32 18 52 77 16 63  2 38
Card   2: 34 79 17 22 15 73 61 58 46 32 | 36 53 22 32 56 15 71  7 17 19 79 81 44 59 46 34 52 61 24 73 54 28 88 50 58
Card   3: 20 71 73 21 96 61  4 66 19 47 | 55 31 54 72 47  2 61 19 36  4 92 64 68 20 96 21 75 49 73 67 66 26 12 71 98
Card   4:  6 34 71 49 82 67 22  9 72 96 | 49 32 84 82  2 72 60 67 14 99 22  9 38  6  7 34 91 83 43 96 74 40 71 53 58
Card   5: 76 99 87 97 16 61 73 20 22 19 | 83 27 89 80  1 84 23 21 35 12 60 17 63 26 88  3 70 49  6 34 30 77 59 82 66
Card   6: 26 46 80 73 50  3 44 27 87 96 | 92 46 76 87 50 27 58 68  3 47 93 80 41 64 26  9 96 43 63 73 91 74 22 53  7
Card   7:  6  7  4 44 94 90 19 42 70 53 | 44  2 59 94 99 28 34 48 39 72 96 27 14 92 87 84 74 85 47 69  6 67 17 31 33
Card   8: 17 88 30 94 59 60 79 90 18  9 | 88 94 96 59 18 34 30 86 62 16  2 79  9 70 60 17 95 91 73 40 90  4 93 15 39
Card   9: 44 38  8 48  5 84  6 53  7 86 | 77 36 97 84 91 34  6 13 86 52 38 45 27 16  5 56 72  8  7 99 53 44 31 57 48
Card  10: 89 97 85 41 94 37 36 79  8 64 | 83 34 66 32 49 80 86 84 52 43  5 25 73  7 74 55 72 78 63 14 28 48 16 75 30
Card  11: 33 18 46 65 44 14 99 56 38 80 |  5 48 85 25 70 52 97 99 56 45 26 92 49 24 81 96 65 42 72 16 78 46 54 10 13
Card  12: 43 48  2 90 99 20 69 51  6 88 | 88 99 52 79 80 29 43 51 19 62 66 18 23 32 55 60  7 85 90 16  2 46 27 69  9
Card  13: 67 73 47 37 96 88 65 52 19 10 | 49 28 84 78 11 54 17 86 74 56 89 95 91 98  4 67 61 60 50 94 12 48 77 62 66
Card  14: 22 49 71 37 92 30 54 47 26 68 | 35 67 76 96 27 89 43 58 82 11 17  8 94 77 69  3  9 29 39 55  6 87 84  7 46
Card  15: 28  5 65 51 76 96 35 98  2 62 | 76  5 24 14 81 26 32  2  6 50 65 71 96 90 70  7 39 49 66 79 19 85 44  3 61
Card  16: 13 93  1 50 51 28 73 67 56  4 | 12 81 20 82  9 48 21 78 36 17 76 35 57 91 18 27 11 16 49 23  5 65 58 29 62
Card  17: 68 53 93 91 64 77 41 32 86 19 | 60 92 44 54 71 94 52 82 66 11 97 89 10 35 86 99 79  3 20 25 70 56 91 62 74
Card  18: 24 60 95  5 52 71 82 55 31 45 | 59 87  7 49 77 80 27 62 78 53 14 90  3 96 44 54 91 30 17 51 73 12 66 84 20
Card  19: 49 84  1 12 28 56 55 19 57 59 | 44 50  5 99 38 63 20 84 31 66 73 36 53 10  7 21 15 67 77 76 19 25 52 61 98
Card  20: 43 12 26 91 27 66 49 95 14 18 | 47 73 40 85 89  1 17 48 52 39 88 50 58 19 16 68 65 38 32 97  4 34 75 91 54
Card  21: 46 50 63 61 32 33 47 86 68 35 | 81 91 38 11 76 37 77 75 49 78 33 66 30 72 57 59 15 52  5 50 13 47 71 69 35
Card  22: 45  7 69 50 42 94 19 64 26 96 | 22 89 37 56 72  3 80 11 70 42 61 52 87 65 86 90 31 39 53 91 23 81 62  9  4
Card  23: 23 43 20 98 69 73 31 27 67 97 | 88 26 62 10 42  4 85 74 66 59 90  6 89 54 68 87 18 23 40 15 93 29 55 47 70
Card  24: 35 70 13 23 19 50 58 91 69 99 | 38 94 91 60 63 92 55 74 62 15 26  4 52 28 78 10 46 89 87 53 37 32 85 18  2
Card  25: 13 22 42 58 15 55 47 50 63 32 | 25 45 78 98 65 44 12 43 89 72 11 14 82 59 28  3 76 57 66 20 18 35 39 77 64
Card  26: 33 62 41 81 19 10 99 64 63 85 | 11 81 85  2 52 19 64 15 33 59 99 54  1 10 43 96 56 84 58 53 12 41 63 62 94
Card  27: 79 65 92  3 84 89 34 15 87 45 | 19 23 35  4 99  7 78 27 11 83 69 56 42 76  8 49 28  3 74 92 63 38  1 34 44
Card  28: 64  4 50 16 29 87 18 34 61 11 | 29 61 50 87 16 94 51 47 37 41 11 49  9 93  4 80 57 99 64 54 53 33 32 18 84
Card  29:  3 32 57 88  4 78 10  9 90 46 | 46 80 57 10 93 38 22 74  3 90 27 64 19 14  4 65 96 40 13 88 89  9 47 78 32
Card  30: 68 71 42 36 14 87 63 28 47 39 | 55 37 48 34 52 35  3 67 68 47 98 62 22 27 18 87 29 38 80 14 65 82 31 92 50
